"Timestamp"," 1. What is your year of study? ","2. Are you a domestic or international student? (Domestic meaning you lived or resided in Canada 3+ years before starting university. International meaning you lived abroad prior to beginning university studies). ","3. Which degree are you currently pursuing?","4.  What do you identify as? (Self-Identification is voluntary and you can choose to select the option of ""I do not wish to answer"")","5. Do you identify as someone with Accessibility Needs? ","6. What is your CGPA?","7. What kind of classes are you currently attending? ","8. For in-person classes, on average, how long is your commute to UTM? (One-way)","9. The location of where I am currently living impacts my attendance for in-person class (on-campus vs. off-campus). ","10. My type of commute to school determines whether I’m more likely to attend an in-person class (Walking, Bus, Train, Car, etc.) ","11. My commute time impacts my in-person class attendance. ","12. What would be your most common reasons for skipping an in-person class? Please select your top 3.   ","13. What would be your most common reasons for skipping online classes? Please select your top 3. "," Traditional style lecture (professor teaching material through educational talk, slides, and physical examples)  ","Hybrid style lecture including collaborative group work and presentations","Live Lectures (Synchronous) ","Recorded lectures with Office Hours (Asynchronous) ","14. On average, for a particular course in each semester how often do you say you skip (online or in-person) classes? ","15. Which classes based on Eastern Time are you more likely to skip?","16. Are you more likely to attend class (online or in-person) if the professor requires mandatory participation during lecture (class discussions, quizzes using software such as Quercus, TopHat, etc.)?  ","18. Do you feel your attendance affects your overall CGPA? ","19. Generally, do you classify yourself as one who attends or skips class? "
"2021/02/10 3:42:53 PM AST","More than 4","Domestic","Honours Bachelor of Arts","Female","Yes","2.0 - 2.99","Only online courses","","","","","","To Work;Mental health as a result of COVID-19 (stress, etc.);Technical issues (connection, equipment, etc.)","4","2","4","1","Rarely (25% of the time)","Morning (7:00am – 11:59am)","No","Yes","Attend"
"2021/02/10 3:43:14 PM AST","Fourth","Domestic","Honours Bachelor of Science","Female","No","3.0 - 3.49","Only online courses","","","","","","General sickness (headaches, cold, fever, etc.)","2","4","3","1","Very Rarely (less than 5% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2021/02/10 3:45:18 PM AST","More than 4","Domestic","Honours Bachelor of Science","Female","No","2.0 - 2.99","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Dislike of teaching method;I like to go at my own pace and to have the option to pause/speed up recorded lectures ","2","1","1","4","Rarely (25% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2021/02/10 3:46:43 PM AST","More than 4","Domestic","Honours Bachelor of Arts","Male","No","2.0 - 2.99","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Dislike of teaching method;Poor sleep habits;Mental health as a result of COVID-19 (stress, etc.);Technical issues (connection, equipment, etc.)","1","1","4","4","Rarely (25% of the time)","Morning (7:00am – 11:59am)","Yes","No","Attend"
"2021/02/10 3:49:34 PM AST","First","Domestic","Honours Bachelor of Science","Male","No","3.0 - 3.49","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Mental health as a result of COVID-19 (stress, etc.);Technical issues (connection, equipment, etc.)","3","2","3","2","Sometimes (50% of the time)","Morning (7:00am – 11:59am)","Yes","No","Attend"
"2021/02/10 3:50:46 PM AST","Second","Domestic","Honours Bachelor of Science","Female","No","3.0 - 3.49","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Dislike of teaching method","3","3","3","2","Very Rarely (less than 5% of the time)","Night (9pm - 6:59am)","Yes","Yes","Attend"
"2021/02/10 3:50:50 PM AST","First","International","Bachelor of Commerce","Male","No","3.5 - 4.0","Only online courses","","","","","","Time of Class as per your time zone;Poor sleep habits;Mental health as a result of COVID-19 (stress, etc.);General sickness (headaches, cold, fever, etc.)","2","3","2","4","Very Rarely (less than 5% of the time)","Night (9pm - 6:59am)","Yes","Yes","Attend"
"2021/02/10 3:50:59 PM AST","First","Domestic","Honours Bachelor of Arts","Female","I do not wish to answer","Less than 1.5","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);To Work;General sickness (headaches, cold, fever, etc.)","3","4","2","1","Sometimes (50% of the time)","Evening (4:00 pm – 9:00 pm)","No","Yes","Skip"
"2021/02/10 3:51:31 PM AST","First","Domestic","Honours Bachelor of Arts","Male","No","3.0 - 3.49","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Poor sleep habits;Mental health as a result of COVID-19 (stress, etc.)","1","4","2","3","Very Rarely (less than 5% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2021/02/10 3:52:36 PM AST","Second","Domestic","Bachelor of Business Administration","Female","Yes","Less than 1.5","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Poor sleep habits;General sickness (headaches, cold, fever, etc.)","1","4","2","1","Very Rarely (less than 5% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2021/02/10 3:55:17 PM AST","First","International","Honours Bachelor of Science","Male","No","3.5 - 4.0","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Poor sleep habits;Technical issues (connection, equipment, etc.)","1","4","1","4","Never","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2021/02/10 3:56:18 PM AST","Third","Domestic","Honours Bachelor of Science","Female","No","2.0 - 2.99","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Dislike of teaching method;Poor sleep habits;Mental health as a result of COVID-19 (stress, etc.)","4","1","4","2","Rarely (25% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2021/02/10 3:57:08 PM AST","Second","Domestic","Honours Bachelor of Science","Female","No","1.5 - 1.99","Only online courses","","","","","","Time of Class as per your time zone;To Study (Prepare for a Test or Assignment);Dislike of teaching method;Poor sleep habits;General sickness (headaches, cold, fever, etc.)","4","1","1","4","Sometimes (50% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2021/02/10 3:57:24 PM AST","Second","Domestic","Honours Bachelor of Science","Female","No","3.0 - 3.49","Only online courses","","","","","","Poor sleep habits","3","1","3","4","Sometimes (50% of the time)","Morning (7:00am – 11:59am)","Yes","No","Attend"
"2021/02/10 3:59:06 PM AST","First","Domestic","Honours Bachelor of Arts","Female","No","3.0 - 3.49","Only online courses","","","","","","To Work;Technical issues (connection, equipment, etc.);Easy to use external resources if needed (Internet, friends, etc.)","3","2","2","4","Very Rarely (less than 5% of the time)","Afternoon (12:00pm – 3:59 pm)","Yes","No","Attend"
"2021/02/10 4:00:49 PM AST","Second","International","Honours Bachelor of Arts","Female","No","3.5 - 4.0","Only online courses","","","","","","To Work;Dislike of teaching method;Mental health as a result of COVID-19 (stress, etc.)","4","1","1","4","Very Rarely (less than 5% of the time)","Morning (7:00am – 11:59am)","No","No","Attend"
"2021/02/10 4:00:55 PM AST","Third","Domestic","Honours Bachelor of Science","Female","No","2.0 - 2.99","Only online courses","","","","","","To Work;Mental health as a result of COVID-19 (stress, etc.);General sickness (headaches, cold, fever, etc.)","4","3","4","4","Rarely (25% of the time)","Evening (4:00 pm – 9:00 pm)","Yes","Yes","Attend"
"2021/02/10 4:01:01 PM AST","Third","Domestic","Honours Bachelor of Arts","Male","No","2.0 - 2.99","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Poor sleep habits;Mental health as a result of COVID-19 (stress, etc.);Technical issues (connection, equipment, etc.)","2","4","1","3","Very Rarely (less than 5% of the time)","Morning (7:00am – 11:59am)","No","Yes","Attend"
"2021/02/10 4:01:26 PM AST","Second","Domestic","Honours Bachelor of Arts","Female","No","3.0 - 3.49","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Mental health as a result of COVID-19 (stress, etc.);General sickness (headaches, cold, fever, etc.)","1","1","1","1","Never","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2021/02/10 4:03:32 PM AST","Third","Domestic","Honours Bachelor of Science","Female","No","3.5 - 4.0","Only online courses","","","","","","To Work;Mental health as a result of COVID-19 (stress, etc.);Technical issues (connection, equipment, etc.)","1","1","1","3","Rarely (25% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2021/02/10 4:04:06 PM AST","Fourth","Domestic","Honours Bachelor of Arts","Female","No","3.0 - 3.49","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Dislike of teaching method;Poor sleep habits","3","3","4","1","Rarely (25% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2021/02/10 4:04:33 PM AST","Third","Domestic","Honours Bachelor of Arts","Female","No","3.5 - 4.0","Only online courses","","","","","","Time of Class as per your time zone;Technical issues (connection, equipment, etc.);General sickness (headaches, cold, fever, etc.)","3","1","2","3","Never","Night (9pm - 6:59am)","Yes","Yes","Attend"
"2021/02/10 4:04:48 PM AST","Fourth","Domestic","Honours Bachelor of Arts","Female","No","2.0 - 2.99","Only online courses","","","","","","To Work;Dislike of teaching method;Mental health as a result of COVID-19 (stress, etc.);Technical issues (connection, equipment, etc.)","3","2","2","4","Very Rarely (less than 5% of the time)","Night (9pm - 6:59am)","No","Yes","Attend"
"2021/02/10 4:07:06 PM AST","Fourth","Domestic","Honours Bachelor of Science","Female","No","3.5 - 4.0","A combination of online and in person courses","15-30 min","No Opinion","Agree","Disagree","To Study (Prepare for a Test or Assignment);Instructor posts class material online (lecture notes, recordings, etc.);General sickness (headaches, cold, fever, etc.)","To Study (Prepare for a Test or Assignment);Dislike of teaching method;Technical issues (connection, equipment, etc.)","1","3","1","4","Rarely (25% of the time)","Morning (7:00am – 11:59am)","Yes","No","Attend"
"2021/02/10 4:07:18 PM AST","Third","Domestic","Honours Bachelor of Arts","Female","No","3.0 - 3.49","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Poor sleep habits;Mental health as a result of COVID-19 (stress, etc.)","1","3","2","2","Never","Morning (7:00am – 11:59am)","Yes","No","Attend"
"2021/02/10 4:07:27 PM AST","Fourth","Domestic","Honours Bachelor of Science","Female","No","3.5 - 4.0","Only online courses","","","","","","Time of Class as per your time zone;To Study (Prepare for a Test or Assignment);Dislike of teaching method","4","1","3","2","Very Rarely (less than 5% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2021/02/10 4:08:41 PM AST","Fourth","Domestic","Honours Bachelor of Science","Female","No","3.5 - 4.0","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Poor sleep habits;Mental health as a result of COVID-19 (stress, etc.)","1","4","1","1","Rarely (25% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2021/02/10 4:09:41 PM AST","More than 4","Domestic","Honours Bachelor of Science","Female","No","2.0 - 2.99","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Dislike of teaching method;Poor sleep habits","3","2","2","4","Frequently (75% of the time)","Afternoon (12:00pm – 3:59 pm)","Yes","No","Skip"
"2021/02/10 4:09:51 PM AST","Fourth","Domestic","Honours Bachelor of Science","Female","No","2.0 - 2.99","Only online courses","","","","","","Time of Class as per your time zone;Poor sleep habits;Easy to use external resources if needed (Internet, friends, etc.)","3","4","2","1","Rarely (25% of the time)","Morning (7:00am – 11:59am)","Yes","No","Attend"
"2021/02/10 4:12:03 PM AST","Third","International","Honours Bachelor of Arts","Female","Yes","Less than 1.5","Only online courses","","","","","","Dislike of teaching method;Poor sleep habits;Mental health as a result of COVID-19 (stress, etc.);Easy to use external resources if needed (Internet, friends, etc.)","4","1","3","4","Frequently (75% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Skip"
"2021/02/10 4:12:31 PM AST","Fourth","Domestic","Honours Bachelor of Science","Female","No","3.0 - 3.49","Only online courses","","","","","","Time of Class as per your time zone;To Study (Prepare for a Test or Assignment);To Work;Poor sleep habits;Mental health as a result of COVID-19 (stress, etc.);Technical issues (connection, equipment, etc.)","2","3","4","1","Sometimes (50% of the time)","Night (9pm - 6:59am)","Yes","No","Attend"
"2021/02/10 4:13:24 PM AST","Second","Domestic","Bachelor of Commerce","Male","No","3.0 - 3.49","Only online courses","","","","","","Time of Class as per your time zone;Mental health as a result of COVID-19 (stress, etc.);Technical issues (connection, equipment, etc.)","4","3","1","2","Very Rarely (less than 5% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2021/02/10 4:18:17 PM AST","Third","Domestic","Honours Bachelor of Science","Female","No","3.0 - 3.49","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Technical issues (connection, equipment, etc.)","3","4","3","2","Rarely (25% of the time)","Evening (4:00 pm – 9:00 pm)","Yes","Yes","Attend"
"2021/02/10 4:20:37 PM AST","Fourth","International","Honours Bachelor of Arts","Female","No","2.0 - 2.99","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Poor sleep habits","3","2","3","4","Sometimes (50% of the time)","Morning (7:00am – 11:59am)","Yes","No","Skip"
"2021/02/10 4:22:20 PM AST","Third","Domestic","Honours Bachelor of Science","Male","No","2.0 - 2.99","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Poor sleep habits;Mental health as a result of COVID-19 (stress, etc.)","4","2","1","4","Frequently (75% of the time)","Morning (7:00am – 11:59am)","Yes","No","Skip"
"2021/02/10 4:22:55 PM AST","Second","Domestic","Honours Bachelor of Science","Male","No","3.5 - 4.0","Only online courses","","","","","","Time of Class as per your time zone;Dislike of teaching method;All lectures are posted online afterwords, which allows me to watch when I please, skip over areas I don't need to know, and rewind, fastforward, pause, etc. while taking notes","3","2","2","4","Frequently (75% of the time)","Morning (7:00am – 11:59am)","Yes","No","Attend"
"2021/02/10 4:23:49 PM AST","Second","Domestic","Honours Bachelor of Arts","Female","No","3.0 - 3.49","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Poor sleep habits;Technical issues (connection, equipment, etc.)","1","2","1","2","Rarely (25% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2021/02/10 4:27:51 PM AST","First","International","Honours Bachelor of Arts","Female","No","3.5 - 4.0","Only online courses","","","","","","Time of Class as per your time zone;Technical issues (connection, equipment, etc.);General sickness (headaches, cold, fever, etc.)","2","1","3","4","Never","Night (9pm - 6:59am)","Yes","No","Attend"
"2021/02/10 4:30:48 PM AST","First","Domestic","Honours Bachelor of Arts","Female","No","3.0 - 3.49","Only online courses","","","","","","Dislike of teaching method;Mental health as a result of COVID-19 (stress, etc.)","1","2","2","2","Rarely (25% of the time)","Night (9pm - 6:59am)","Yes","No","Attend"
"2021/02/10 4:31:24 PM AST","Third","International","Honours Bachelor of Science","Female","No","2.0 - 2.99","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Poor sleep habits;General sickness (headaches, cold, fever, etc.)","2","2","2","3","Very Rarely (less than 5% of the time)","Morning (7:00am – 11:59am)","Yes","No","Attend"
"2021/02/10 4:31:28 PM AST","Second","Domestic","Honours Bachelor of Science","Female","No","2.0 - 2.99","Only online courses","","","","","","To Work;Dislike of teaching method;General sickness (headaches, cold, fever, etc.);Just a general feeling of not attending the class. Procrastination maybe because of the classes being online","3","2","1","3","Sometimes (50% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2021/02/10 4:32:48 PM AST","Fourth","Domestic","Honours Bachelor of Science","Male","No","3.5 - 4.0","Only online courses","","","","","","Time of Class as per your time zone;To Study (Prepare for a Test or Assignment);Dislike of teaching method","1","2","3","1","Rarely (25% of the time)","Afternoon (12:00pm – 3:59 pm)","Yes","No","Attend"
"2021/02/10 4:35:48 PM AST","First","International","Bachelor of Commerce","Male","No","2.0 - 2.99","Only online courses","","","","","","Poor sleep habits;Mental health as a result of COVID-19 (stress, etc.);Easy to use external resources if needed (Internet, friends, etc.)","3","1","2","4","Rarely (25% of the time)","Morning (7:00am – 11:59am)","No","Yes","Attend"
"2021/02/10 4:36:36 PM AST","First","Domestic","Honours Bachelor of Science","Female","No","Less than 1.5","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);To Work;Poor sleep habits;Mental health as a result of COVID-19 (stress, etc.);Technical issues (connection, equipment, etc.)","3","4","4","2","Very Rarely (less than 5% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2021/02/10 4:37:02 PM AST","More than 4","Domestic","Honours Bachelor of Science","Male","No","2.0 - 2.99","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Dislike of teaching method;Poor sleep habits","1","3","3","3","Very Rarely (less than 5% of the time)","Afternoon (12:00pm – 3:59 pm)","Yes","Yes","Attend"
"2021/02/10 4:37:14 PM AST","Second","Domestic","Honours Bachelor of Science","Female","No","3.5 - 4.0","Only online courses","","","","","","Dislike of teaching method;Poor sleep habits;Easy to use external resources if needed (Internet, friends, etc.)","1","4","1","4","Rarely (25% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2021/02/10 4:37:41 PM AST","More than 4","Domestic","Honours Bachelor of Science","Female","I do not wish to answer","2.0 - 2.99","Only online courses","","","","","","Dislike of teaching method;Poor sleep habits;Technical issues (connection, equipment, etc.)","3","4","4","4","Very Rarely (less than 5% of the time)","Night (9pm - 6:59am)","Yes","No","Attend"
"2021/02/10 4:38:55 PM AST","More than 4","Domestic","Honours Bachelor of Science","I do not wish to answer","I do not wish to answer","Prefer not to answer","Only online courses","","","","","","To Work;Poor sleep habits;Mental health as a result of COVID-19 (stress, etc.)","4","2","4","3","Frequently (75% of the time)","Morning (7:00am – 11:59am)","Yes","No","Skip"
"2021/02/10 4:39:11 PM AST","First","Domestic","Honours Bachelor of Science","Male","No","Prefer not to answer","Only online courses","","","","","","Dislike of teaching method;Poor sleep habits;Easy to use external resources if needed (Internet, friends, etc.)","1","3","4","2","Frequently (75% of the time)","Morning (7:00am – 11:59am)","Yes","No","Skip"
"2021/02/10 4:39:27 PM AST","Second","International","Honours Bachelor of Arts","Female","Yes","3.5 - 4.0","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);To Work","3","1","4","3","Very Rarely (less than 5% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2021/02/10 4:41:01 PM AST","Fourth","Domestic","Honours Bachelor of Science","Male","No","3.0 - 3.49","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);To Work;Recorded lectures allow for work at own pace","2","4","3","1","Rarely (25% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2021/02/10 4:41:47 PM AST","Second","Domestic","Honours Bachelor of Arts","Female","No","3.0 - 3.49","Only online courses","","","","","","Mental health as a result of COVID-19 (stress, etc.);Technical issues (connection, equipment, etc.);General sickness (headaches, cold, fever, etc.)","4","2","1","4","Frequently (75% of the time)","Night (9pm - 6:59am)","No","Yes","Attend"
"2021/02/10 4:42:19 PM AST","Second","Domestic","Honours Bachelor of Science","Female","No","Prefer not to answer","Only online courses","","","","","","Time of Class as per your time zone","4","2","4","2","Rarely (25% of the time)","Evening (4:00 pm – 9:00 pm)","Yes","Yes","Attend"
"2021/02/10 4:42:33 PM AST","Third","Domestic","Honours Bachelor of Arts","Female","No","3.0 - 3.49","Only online courses","","","","","","Dislike of teaching method;Mental health as a result of COVID-19 (stress, etc.);Technical issues (connection, equipment, etc.)","2","1","1","4","Very Rarely (less than 5% of the time)","Morning (7:00am – 11:59am)","Yes","No","Attend"
"2021/02/10 4:42:35 PM AST","Fourth","Domestic","Honours Bachelor of Science","Female","No","3.5 - 4.0","Only online courses","","","","","","Time of Class as per your time zone;To Study (Prepare for a Test or Assignment);Dislike of teaching method","4","1","3","2","Very Rarely (less than 5% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2021/02/10 4:43:43 PM AST","Second","Domestic","Honours Bachelor of Arts","Female","No","2.0 - 2.99","Only online courses","","","","","","To Work;General sickness (headaches, cold, fever, etc.)","2","1","1","1","Never","Night (9pm - 6:59am)","Yes","Yes","Attend"
"2021/02/10 4:44:04 PM AST","Fourth","International","Honours Bachelor of Arts","Male","No","2.0 - 2.99","Only online courses","","","","","","Time of Class as per your time zone;To Study (Prepare for a Test or Assignment)","3","1","2","4","Rarely (25% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2021/02/10 4:44:06 PM AST","Third","Domestic","Honours Bachelor of Arts","Female","No","3.5 - 4.0","Only online courses","","","","","","To Work;Mental health as a result of COVID-19 (stress, etc.);Technical issues (connection, equipment, etc.)","4","3","4","1","Never","Night (9pm - 6:59am)","Yes","Yes","Attend"
"2021/02/10 4:44:15 PM AST","Third","International","Honours Bachelor of Arts","Male","No","2.0 - 2.99","Only online courses","","","","","","Time of Class as per your time zone;To Study (Prepare for a Test or Assignment);Technical issues (connection, equipment, etc.)","3","1","3","3","Very Rarely (less than 5% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2021/02/10 4:44:28 PM AST","Fourth","International","Honours Bachelor of Science","Female","No","3.0 - 3.49","Only online courses","","","","","","Dislike of teaching method;Poor sleep habits","1","3","2","2","Very Rarely (less than 5% of the time)","Morning (7:00am – 11:59am)","Yes","No","Attend"
"2021/02/10 4:44:49 PM AST","Fourth","International","Honours Bachelor of Science","Female","No","3.0 - 3.49","Only online courses","","","","","","Time of Class as per your time zone;To Study (Prepare for a Test or Assignment);Mental health as a result of COVID-19 (stress, etc.)","1","3","2","4","Very Rarely (less than 5% of the time)","Evening (4:00 pm – 9:00 pm)","No","Yes","Attend"
"2021/02/10 4:44:59 PM AST","More than 4","International","Honours Bachelor of Arts","Male","No","3.5 - 4.0","Only online courses","","","","","","Dislike of teaching method;General sickness (headaches, cold, fever, etc.);0 interaction","4","4","3","2","Very Rarely (less than 5% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2021/02/10 4:45:06 PM AST","Fourth","Domestic","Honours Bachelor of Arts","Female","No","3.0 - 3.49","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Dislike of teaching method;Poor sleep habits;Mental health as a result of COVID-19 (stress, etc.);General sickness (headaches, cold, fever, etc.)","2","3","3","3","Very Rarely (less than 5% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2021/02/10 4:45:13 PM AST","Second","International","Honours Bachelor of Arts","Male","No","3.5 - 4.0","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Dislike of teaching method;Poor sleep habits","4","1","1","4","Sometimes (50% of the time)","Morning (7:00am – 11:59am)","No","Yes","Skip"
"2021/02/10 4:45:23 PM AST","First","International","Honours Bachelor of Science","Female","No","3.5 - 4.0","Only online courses","","","","","","Time of Class as per your time zone;To Study (Prepare for a Test or Assignment);Mental health as a result of COVID-19 (stress, etc.);Technical issues (connection, equipment, etc.);General sickness (headaches, cold, fever, etc.)","3","1","3","2","Very Rarely (less than 5% of the time)","Evening (4:00 pm – 9:00 pm)","Yes","Yes","Attend"
"2021/02/10 4:45:33 PM AST","First","Domestic","Honours Bachelor of Science","Female","Yes","2.0 - 2.99","Only online courses","","","","","","Mental health as a result of COVID-19 (stress, etc.)","3","2","3","2","Rarely (25% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2021/02/10 4:46:03 PM AST","Third","Domestic","Honours Bachelor of Science","Female","No","3.0 - 3.49","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Dislike of teaching method;Poor sleep habits;General sickness (headaches, cold, fever, etc.)","3","4","2","4","Rarely (25% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
